Price,Close,High,Low,Open,Volume,Product Name,Symbol
Ticker,^SP500-50,^SP500-50,^SP500-50,^SP500-50,^SP500-50,,
Date,,,,,,,
2018-06-01,145.22999572753906,145.72999572753906,144.7100067138672,144.8699951171875,0,S&P 500 Communication Services,^SP500-50
2018-06-04,145.0800018310547,146.13999938964844,144.92999267578125,145.22999572753906,0,S&P 500 Communication Services,^SP500-50
2018-06-05,145.80999755859375,145.99000549316406,144.80999755859375,145.0800018310547,0,S&P 500 Communication Services,^SP500-50
2018-06-06,148.00999450683594,148.30999755859375,145.39999389648438,145.80999755859375,0,S&P 500 Communication Services,^SP500-50
2018-06-07,149.80999755859375,150.36000061035156,146.27999877929688,148.00999450683594,0,S&P 500 Communication Services,^SP500-50
2018-06-08,150.11000061035156,150.25,148.57000732421875,149.80999755859375,0,S&P 500 Communication Services,^SP500-50
2018-06-11,151.11000061035156,152.3000030517578,150.11000061035156,150.11000061035156,0,S&P 500 Communication Services,^SP500-50
2018-06-12,150.8000030517578,152.27000427246094,150.0800018310547,151.11000061035156,0,S&P 500 Communication Services,^SP500-50
2018-06-13,144.02999877929688,150.8000030517578,143.99000549316406,150.8000030517578,0,S&P 500 Communication Services,^SP500-50
2018-06-14,145.44000244140625,146.47000122070312,143.8699951171875,144.02999877929688,0,S&P 500 Communication Services,^SP500-50
2018-06-15,147.14999389648438,147.25,144.41000366210938,145.44000244140625,0,S&P 500 Communication Services,^SP500-50
2018-06-18,144.25,147.14999389648438,143.66000366210938,147.14999389648438,0,S&P 500 Communication Services,^SP500-50
2018-06-19,146.3000030517578,146.99000549316406,143.85000610351562,144.25,0,S&P 500 Communication Services,^SP500-50
2018-06-20,144.8800048828125,146.72999572753906,144.50999450683594,146.3000030517578,0,S&P 500 Communication Services,^SP500-50
2018-06-21,144.6199951171875,146.8000030517578,144.2899932861328,144.8800048828125,0,S&P 500 Communication Services,^SP500-50
2018-06-22,146.38999938964844,146.99000549316406,144.6199951171875,144.6199951171875,0,S&P 500 Communication Services,^SP500-50
2018-06-25,146.27999877929688,146.8300018310547,145.67999267578125,146.38999938964844,0,S&P 500 Communication Services,^SP500-50
2018-06-26,145.66000366210938,146.72000122070312,144.83999633789062,146.27999877929688,0,S&P 500 Communication Services,^SP500-50
2018-06-27,145.7100067138672,146.99000549316406,145.6300048828125,145.66000366210938,0,S&P 500 Communication Services,^SP500-50
2018-06-28,149.0500030517578,149.57000732421875,145.7100067138672,145.7100067138672,0,S&P 500 Communication Services,^SP500-50
2018-06-29,148.1199951171875,149.60000610351562,147.82000732421875,149.0500030517578,0,S&P 500 Communication Services,^SP500-50
2018-07-02,148.4600067138672,148.4600067138672,147.00999450683594,148.1199951171875,0,S&P 500 Communication Services,^SP500-50
2018-07-03,150.19000244140625,150.6199951171875,148.27999877929688,148.4600067138672,0,S&P 500 Communication Services,^SP500-50
2018-07-05,150.7899932861328,150.8300018310547,149.3699951171875,150.19000244140625,0,S&P 500 Communication Services,^SP500-50
2018-07-06,151.3300018310547,151.7100067138672,150.39999389648438,150.7899932861328,0,S&P 500 Communication Services,^SP500-50
2018-07-09,149.17999267578125,151.3300018310547,149.07000732421875,151.3300018310547,0,S&P 500 Communication Services,^SP500-50
2018-07-10,150.8699951171875,150.9499969482422,149.1300048828125,149.17999267578125,0,S&P 500 Communication Services,^SP500-50
2018-07-11,149.2899932861328,150.89999389648438,149.25999450683594,150.8699951171875,0,S&P 500 Communication Services,^SP500-50
2018-07-12,150.07000732421875,150.38999938964844,149.22999572753906,149.2899932861328,0,S&P 500 Communication Services,^SP500-50
2018-07-13,148.94000244140625,150.07000732421875,147.9199981689453,150.07000732421875,0,S&P 500 Communication Services,^SP500-50
2018-07-16,149.63999938964844,149.9600067138672,148.60000610351562,148.94000244140625,0,S&P 500 Communication Services,^SP500-50
2018-07-17,149.10000610351562,150.58999633789062,149.0500030517578,149.63999938964844,0,S&P 500 Communication Services,^SP500-50
2018-07-18,148.55999755859375,149.47999572753906,148.24000549316406,149.10000610351562,0,S&P 500 Communication Services,^SP500-50
2018-07-19,146.9199981689453,148.58999633789062,146.82000732421875,148.55999755859375,0,S&P 500 Communication Services,^SP500-50
2018-07-20,146.1999969482422,147.0,146.13999938964844,146.9199981689453,0,S&P 500 Communication Services,^SP500-50
2018-07-23,146.16000366210938,146.86000061035156,145.02000427246094,146.1999969482422,0,S&P 500 Communication Services,^SP500-50
2018-07-24,148.72999572753906,148.75,145.25999450683594,146.16000366210938,0,S&P 500 Communication Services,^SP500-50
