Price,Close,High,Low,Open,Volume,Product Name,Symbol
Ticker,^XAU,^XAU,^XAU,^XAU,^XAU,,
Date,,,,,,,
2018-06-01,83.04000091552734,83.69999694824219,82.5,83.19999694824219,0,Gold,^XAU
2018-06-04,82.18000030517578,83.58000183105469,82.1500015258789,83.45999908447266,0,Gold,^XAU
2018-06-05,83.05000305175781,83.52999877929688,82.19000244140625,82.19000244140625,0,Gold,^XAU
2018-06-06,83.37999725341797,83.76000213623047,82.72000122070312,83.44999694824219,0,Gold,^XAU
2018-06-07,82.98999786376953,83.51000213623047,82.63999938964844,83.45999908447266,0,Gold,^XAU
2018-06-08,82.93000030517578,83.11000061035156,82.61000061035156,82.88999938964844,0,Gold,^XAU
2018-06-11,83.62999725341797,83.69999694824219,82.45999908447266,82.7300033569336,0,Gold,^XAU
2018-06-12,83.81999969482422,83.91000366210938,83.11000061035156,83.16000366210938,0,Gold,^XAU
2018-06-13,83.79000091552734,84.26000213623047,82.9800033569336,83.79000091552734,0,Gold,^XAU
2018-06-14,84.66999816894531,84.72000122070312,84.13999938964844,84.33999633789062,0,Gold,^XAU
2018-06-15,82.58000183105469,83.77999877929688,82.25,83.7699966430664,0,Gold,^XAU
2018-06-18,82.37999725341797,82.61000061035156,82.05999755859375,82.25,0,Gold,^XAU
2018-06-19,81.66999816894531,82.19999694824219,81.33000183105469,81.5,0,Gold,^XAU
2018-06-20,81.25,81.9800033569336,81.05999755859375,81.75,0,Gold,^XAU
2018-06-21,80.88999938964844,81.41999816894531,80.75,81.0199966430664,0,Gold,^XAU
2018-06-22,82.0,82.08999633789062,81.27999877929688,81.30000305175781,0,Gold,^XAU
2018-06-25,80.5199966430664,81.88999938964844,80.45999908447266,81.54000091552734,0,Gold,^XAU
2018-06-26,80.4800033569336,80.70999908447266,79.68000030517578,80.1500015258789,0,Gold,^XAU
2018-06-27,79.93000030517578,81.01000213623047,79.93000030517578,80.20999908447266,0,Gold,^XAU
2018-06-28,79.83000183105469,80.1500015258789,79.30999755859375,79.87000274658203,0,Gold,^XAU
2018-06-29,81.58999633789062,82.02999877929688,80.27999877929688,80.30000305175781,0,Gold,^XAU
2018-07-02,81.11000061035156,81.61000061035156,80.62000274658203,80.83999633789062,0,Gold,^XAU
2018-07-03,82.87000274658203,83.56999969482422,82.0,82.0,0,Gold,^XAU
2018-07-05,83.70999908447266,83.9000015258789,83.12999725341797,83.31999969482422,0,Gold,^XAU
2018-07-06,83.75,83.95999908447266,83.31999969482422,83.44000244140625,0,Gold,^XAU
2018-07-09,83.27999877929688,84.79000091552734,83.27999877929688,84.58000183105469,0,Gold,^XAU
2018-07-10,83.54000091552734,83.62000274658203,82.69000244140625,82.9800033569336,0,Gold,^XAU
