Price,Close,High,Low,Open,Volume,Product Name,Symbol
Ticker,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,,
Date,,,,,,,
2018-06-01,94.19000244140625,94.44999694824219,93.87999725341797,93.94999694824219,0,Dollar Index,DX-Y.NYB
2018-06-04,94.0199966430664,94.19999694824219,93.66000366210938,94.16000366210938,0,Dollar Index,DX-Y.NYB
2018-06-05,93.88999938964844,94.31999969482422,93.77999877929688,94.05999755859375,0,Dollar Index,DX-Y.NYB
2018-06-06,93.66000366210938,93.88999938964844,93.41999816894531,93.87999725341797,0,Dollar Index,DX-Y.NYB
2018-06-07,93.4000015258789,93.58999633789062,93.20999908447266,93.58999633789062,0,Dollar Index,DX-Y.NYB
2018-06-08,93.55000305175781,93.81999969482422,93.38999938964844,93.44000244140625,0,Dollar Index,DX-Y.NYB
2018-06-11,93.58000183105469,93.68000030517578,93.37000274658203,93.54000091552734,0,Dollar Index,DX-Y.NYB
2018-06-12,93.80000305175781,93.91000366210938,93.47000122070312,93.66999816894531,0,Dollar Index,DX-Y.NYB
2018-06-13,93.70999908447266,94.02999877929688,93.5199966430664,93.83000183105469,0,Dollar Index,DX-Y.NYB
2018-06-14,94.7699966430664,94.87000274658203,93.19000244140625,93.5,0,Dollar Index,DX-Y.NYB
2018-06-15,94.79000091552734,95.12999725341797,94.6500015258789,94.91000366210938,0,Dollar Index,DX-Y.NYB
2018-06-18,94.75,95.05000305175781,94.69999694824219,94.79000091552734,0,Dollar Index,DX-Y.NYB
2018-06-19,95.08999633789062,95.30000305175781,94.52999877929688,94.73999786376953,0,Dollar Index,DX-Y.NYB
2018-06-20,95.05999755859375,95.30000305175781,94.91999816894531,94.97000122070312,0,Dollar Index,DX-Y.NYB
2018-06-21,94.87000274658203,95.52999877929688,94.68000030517578,95.12999725341797,0,Dollar Index,DX-Y.NYB
2018-06-22,94.5199966430664,94.87999725341797,94.43000030517578,94.86000061035156,0,Dollar Index,DX-Y.NYB
2018-06-25,94.27999877929688,94.69999694824219,94.20999908447266,94.5,0,Dollar Index,DX-Y.NYB
2018-06-26,94.68000030517578,94.7699966430664,94.16999816894531,94.29000091552734,0,Dollar Index,DX-Y.NYB
2018-06-27,95.29000091552734,95.41999816894531,94.52999877929688,94.66999816894531,0,Dollar Index,DX-Y.NYB
2018-06-28,95.38999938964844,95.52999877929688,95.08999633789062,95.2699966430664,0,Dollar Index,DX-Y.NYB
2018-06-29,94.62999725341797,95.31999969482422,94.4800033569336,95.30000305175781,0,Dollar Index,DX-Y.NYB
2018-07-02,94.87000274658203,95.13999938964844,94.52999877929688,94.62999725341797,0,Dollar Index,DX-Y.NYB
2018-07-03,94.58999633789062,94.9800033569336,94.55999755859375,94.83999633789062,0,Dollar Index,DX-Y.NYB
2018-07-05,94.47000122070312,94.58999633789062,94.18000030517578,94.51000213623047,0,Dollar Index,DX-Y.NYB
2018-07-06,94.04000091552734,94.48999786376953,93.91999816894531,94.36000061035156,0,Dollar Index,DX-Y.NYB
2018-07-09,94.08000183105469,94.20999908447266,93.70999908447266,93.97000122070312,0,Dollar Index,DX-Y.NYB
2018-07-10,94.11000061035156,94.4800033569336,94.0199966430664,94.05999755859375,0,Dollar Index,DX-Y.NYB
2018-07-11,94.72000122070312,94.7699966430664,94.08999633789062,94.19999694824219,0,Dollar Index,DX-Y.NYB
2018-07-12,94.80999755859375,94.94000244140625,94.63999938964844,94.69999694824219,0,Dollar Index,DX-Y.NYB
2018-07-13,94.75,95.23999786376953,94.66999816894531,94.9000015258789,0,Dollar Index,DX-Y.NYB
2018-07-16,94.51000213623047,94.7699966430664,94.41000366210938,94.69000244140625,0,Dollar Index,DX-Y.NYB
2018-07-17,94.97000122070312,95.05999755859375,94.30000305175781,94.55000305175781,0,Dollar Index,DX-Y.NYB
2018-07-18,95.08000183105469,95.41000366210938,94.95999908447266,95.02999877929688,0,Dollar Index,DX-Y.NYB
2018-07-19,95.16999816894531,95.6500015258789,94.93000030517578,95.08000183105469,0,Dollar Index,DX-Y.NYB
2018-07-20,94.45999908447266,95.27999877929688,94.36000061035156,95.12999725341797,0,Dollar Index,DX-Y.NYB
2018-07-23,94.66999816894531,94.72000122070312,94.20999908447266,94.43000030517578,0,Dollar Index,DX-Y.NYB
2018-07-24,94.61000061035156,94.86000061035156,94.4000015258789,94.66999816894531,0,Dollar Index,DX-Y.NYB
2018-07-25,94.36000061035156,94.66999816894531,94.13999938964844,94.58999633789062,0,Dollar Index,DX-Y.NYB
2018-07-26,94.75,94.77999877929688,94.08000183105469,94.16000366210938,0,Dollar Index,DX-Y.NYB
2018-07-27,94.68000030517578,94.91000366210938,94.62999725341797,94.76000213623047,0,Dollar Index,DX-Y.NYB
2018-07-30,94.36000061035156,94.76000213623047,94.26000213623047,94.66000366210938,0,Dollar Index,DX-Y.NYB
2018-07-31,94.48999786376953,94.56999969482422,94.16000366210938,94.33000183105469,0,Dollar Index,DX-Y.NYB
2018-08-01,94.62000274658203,94.70999908447266,94.48999786376953,94.55999755859375,0,Dollar Index,DX-Y.NYB
2018-08-02,95.16999816894531,95.19000244140625,94.61000061035156,94.62999725341797,0,Dollar Index,DX-Y.NYB
2018-08-03,95.13999938964844,95.37000274658203,94.9800033569336,95.18000030517578,0,Dollar Index,DX-Y.NYB
2018-08-06,95.36000061035156,95.5199966430664,95.19999694824219,95.19999694824219,0,Dollar Index,DX-Y.NYB
2018-08-07,95.22000122070312,95.37000274658203,94.98999786376953,95.33999633789062,0,Dollar Index,DX-Y.NYB
2018-08-08,95.0999984741211,95.41999816894531,94.98999786376953,95.13999938964844,0,Dollar Index,DX-Y.NYB
2018-08-09,95.5,95.62000274658203,95.02999877929688,95.0999984741211,0,Dollar Index,DX-Y.NYB
2018-08-10,96.36000061035156,96.44999694824219,95.52999877929688,95.63999938964844,0,Dollar Index,DX-Y.NYB
