Price,Close,High,Low,Open,Volume,Product Name,Symbol
Ticker,^SP500-45,^SP500-45,^SP500-45,^SP500-45,^SP500-45,,
Date,,,,,,,
2018-06-01,1247.550048828125,1247.5699462890625,1223.449951171875,1223.449951171875,0,S&P 500 Information Technology,^SP500-45
2018-06-04,1257.4200439453125,1259.1500244140625,1247.550048828125,1247.550048828125,0,S&P 500 Information Technology,^SP500-45
2018-06-05,1262.8199462890625,1264.5400390625,1257.4200439453125,1257.4200439453125,0,S&P 500 Information Technology,^SP500-45
2018-06-06,1269.56005859375,1269.72998046875,1257.719970703125,1262.8199462890625,0,S&P 500 Information Technology,^SP500-45
2018-06-07,1255.77001953125,1269.8900146484375,1248.1400146484375,1269.56005859375,0,S&P 500 Information Technology,^SP500-45
2018-06-08,1256.1300048828125,1257.8599853515625,1245.239990234375,1255.77001953125,0,S&P 500 Information Technology,^SP500-45
2018-06-11,1255.989990234375,1260.4000244140625,1252.3599853515625,1256.1300048828125,0,S&P 500 Information Technology,^SP500-45
2018-06-12,1263.31005859375,1264.219970703125,1255.989990234375,1255.989990234375,0,S&P 500 Information Technology,^SP500-45
2018-06-13,1260.4300537109375,1271.8199462890625,1259.449951171875,1263.31005859375,0,S&P 500 Information Technology,^SP500-45
2018-06-14,1268.0999755859375,1272.010009765625,1260.4300537109375,1260.4300537109375,0,S&P 500 Information Technology,^SP500-45
2018-06-15,1262.4200439453125,1268.0999755859375,1255.3900146484375,1268.0999755859375,0,S&P 500 Information Technology,^SP500-45
2018-06-18,1265.72998046875,1266.510009765625,1249.56005859375,1262.4200439453125,0,S&P 500 Information Technology,^SP500-45
2018-06-19,1256.6500244140625,1265.72998046875,1240.8199462890625,1265.72998046875,0,S&P 500 Information Technology,^SP500-45
2018-06-20,1260.8399658203125,1267.4599609375,1256.6500244140625,1256.6500244140625,0,S&P 500 Information Technology,^SP500-45
2018-06-21,1250.7099609375,1266.489990234375,1248.0,1260.8399658203125,0,S&P 500 Information Technology,^SP500-45
2018-06-22,1245.93994140625,1252.6400146484375,1241.0,1250.7099609375,0,S&P 500 Information Technology,^SP500-45
2018-06-25,1217.550048828125,1245.93994140625,1206.6300048828125,1245.93994140625,0,S&P 500 Information Technology,^SP500-45
2018-06-26,1223.3399658203125,1232.010009765625,1217.550048828125,1217.550048828125,0,S&P 500 Information Technology,^SP500-45
2018-06-27,1205.5699462890625,1232.8900146484375,1205.5699462890625,1223.3399658203125,0,S&P 500 Information Technology,^SP500-45
2018-06-28,1218.5400390625,1223.1700439453125,1204.02001953125,1205.5699462890625,0,S&P 500 Information Technology,^SP500-45
2018-06-29,1218.6400146484375,1229.9000244140625,1217.219970703125,1218.5400390625,0,S&P 500 Information Technology,^SP500-45
2018-07-02,1230.6700439453125,1230.9300537109375,1206.31005859375,1218.6400146484375,0,S&P 500 Information Technology,^SP500-45
2018-07-03,1213.800048828125,1234.5899658203125,1213.0400390625,1230.6700439453125,0,S&P 500 Information Technology,^SP500-45
2018-07-05,1231.5799560546875,1232.2900390625,1213.800048828125,1213.800048828125,0,S&P 500 Information Technology,^SP500-45
2018-07-06,1246.81005859375,1248.8800048828125,1229.1400146484375,1231.5799560546875,0,S&P 500 Information Technology,^SP500-45
2018-07-09,1256.989990234375,1257.3199462890625,1246.81005859375,1246.81005859375,0,S&P 500 Information Technology,^SP500-45
2018-07-10,1259.9300537109375,1263.75,1256.9300537109375,1256.989990234375,0,S&P 500 Information Technology,^SP500-45
2018-07-11,1253.510009765625,1259.9300537109375,1248.5899658203125,1259.9300537109375,0,S&P 500 Information Technology,^SP500-45
2018-07-12,1276.0,1276.530029296875,1253.510009765625,1253.510009765625,0,S&P 500 Information Technology,^SP500-45
2018-07-13,1275.699951171875,1278.8599853515625,1270.9300537109375,1276.0,0,S&P 500 Information Technology,^SP500-45
2018-07-16,1271.25,1278.02001953125,1268.9300537109375,1275.699951171875,0,S&P 500 Information Technology,^SP500-45
2018-07-17,1281.56005859375,1284.06005859375,1261.719970703125,1271.25,0,S&P 500 Information Technology,^SP500-45
2018-07-18,1280.1300048828125,1281.8800048828125,1275.199951171875,1281.56005859375,0,S&P 500 Information Technology,^SP500-45
2018-07-19,1275.8499755859375,1282.3599853515625,1273.6199951171875,1280.1300048828125,0,S&P 500 Information Technology,^SP500-45
2018-07-20,1276.989990234375,1284.3599853515625,1275.27001953125,1275.8499755859375,0,S&P 500 Information Technology,^SP500-45
2018-07-23,1283.5999755859375,1284.5,1269.0400390625,1276.989990234375,0,S&P 500 Information Technology,^SP500-45
2018-07-24,1290.0,1302.52001953125,1283.5999755859375,1283.5999755859375,0,S&P 500 Information Technology,^SP500-45
2018-07-25,1309.3699951171875,1309.6400146484375,1290.0,1290.0,0,S&P 500 Information Technology,^SP500-45
2018-07-26,1287.9000244140625,1309.3699951171875,1282.8900146484375,1309.3699951171875,0,S&P 500 Information Technology,^SP500-45
2018-07-27,1262.27001953125,1289.5699462890625,1254.5699462890625,1287.9000244140625,0,S&P 500 Information Technology,^SP500-45
2018-07-30,1239.7900390625,1262.280029296875,1231.72998046875,1262.27001953125,0,S&P 500 Information Technology,^SP500-45
2018-07-31,1243.449951171875,1251.8199462890625,1235.6600341796875,1239.7900390625,0,S&P 500 Information Technology,^SP500-45
2018-08-01,1255.47998046875,1260.06005859375,1243.449951171875,1243.449951171875,0,S&P 500 Information Technology,^SP500-45
2018-08-02,1272.6700439453125,1274.300048828125,1244.239990234375,1255.47998046875,0,S&P 500 Information Technology,^SP500-45
