Price,Close,High,Low,Open,Volume,Product Name,Symbol
Ticker,^SP500-55,^SP500-55,^SP500-55,^SP500-55,^SP500-55,,
Date,,,,,,,
2018-06-01,253.02000427246094,256.8699951171875,251.8800048828125,256.8699951171875,0,S&P 500 Utilities,^SP500-55
2018-06-04,250.8800048828125,254.39999389648438,250.63999938964844,253.50999450683594,0,S&P 500 Utilities,^SP500-55
2018-06-05,249.25,251.58999633789062,248.60000610351562,250.8699951171875,0,S&P 500 Utilities,^SP500-55
2018-06-06,243.9499969482422,249.75999450683594,243.52999877929688,249.50999450683594,0,S&P 500 Utilities,^SP500-55
2018-06-07,245.00999450683594,247.44000244140625,243.2100067138672,243.92999267578125,0,S&P 500 Utilities,^SP500-55
2018-06-08,244.97999572753906,245.86000061035156,244.14999389648438,245.2899932861328,0,S&P 500 Utilities,^SP500-55
2018-06-11,244.16000366210938,246.35000610351562,243.72000122070312,245.91000366210938,0,S&P 500 Utilities,^SP500-55
2018-06-12,247.3000030517578,247.50999450683594,244.0399932861328,244.2100067138672,0,S&P 500 Utilities,^SP500-55
2018-06-13,246.6300048828125,248.99000549316406,245.8699951171875,247.4499969482422,0,S&P 500 Utilities,^SP500-55
2018-06-14,249.52000427246094,250.16000366210938,246.57000732421875,247.02999877929688,0,S&P 500 Utilities,^SP500-55
2018-06-15,251.22999572753906,251.4199981689453,247.25,249.44000244140625,0,S&P 500 Utilities,^SP500-55
2018-06-18,252.11000061035156,252.89999389648438,250.85000610351562,251.11000061035156,0,S&P 500 Utilities,^SP500-55
2018-06-19,254.77999877929688,255.47000122070312,252.38999938964844,252.4199981689453,0,S&P 500 Utilities,^SP500-55
2018-06-20,254.77999877929688,255.42999267578125,253.75999450683594,254.97000122070312,0,S&P 500 Utilities,^SP500-55
2018-06-21,255.6300048828125,256.9700012207031,254.36000061035156,254.72000122070312,0,S&P 500 Utilities,^SP500-55
2018-06-22,257.510009765625,258.0899963378906,255.4199981689453,256.0,0,S&P 500 Utilities,^SP500-55
2018-06-25,261.760009765625,262.2300109863281,257.8399963378906,257.8399963378906,0,S&P 500 Utilities,^SP500-55
2018-06-26,261.7300109863281,263.57000732421875,260.8900146484375,261.0799865722656,0,S&P 500 Utilities,^SP500-55
2018-06-27,263.260009765625,263.8399963378906,261.19000244140625,261.7300109863281,0,S&P 500 Utilities,^SP500-55
2018-06-28,263.2200012207031,265.6400146484375,262.8299865722656,263.6099853515625,0,S&P 500 Utilities,^SP500-55
2018-06-29,263.29998779296875,264.5299987792969,261.2099914550781,262.82000732421875,0,S&P 500 Utilities,^SP500-55
2018-07-02,265.3900146484375,265.489990234375,262.4200134277344,263.489990234375,0,S&P 500 Utilities,^SP500-55
2018-07-03,266.05999755859375,267.70001220703125,264.25,265.2200012207031,0,S&P 500 Utilities,^SP500-55
2018-07-05,267.739990234375,267.7699890136719,265.20001220703125,266.260009765625,0,S&P 500 Utilities,^SP500-55
2018-07-06,269.7099914550781,270.0799865722656,267.69000244140625,267.69000244140625,0,S&P 500 Utilities,^SP500-55
2018-07-09,261.2799987792969,269.7200012207031,260.3900146484375,269.7200012207031,0,S&P 500 Utilities,^SP500-55
2018-07-10,263.8299865722656,265.1499938964844,258.8599853515625,260.3299865722656,0,S&P 500 Utilities,^SP500-55
2018-07-11,266.1199951171875,266.6000061035156,263.80999755859375,263.80999755859375,0,S&P 500 Utilities,^SP500-55
2018-07-12,266.3500061035156,266.8900146484375,265.0,266.25,0,S&P 500 Utilities,^SP500-55
2018-07-13,266.510009765625,267.25,264.6499938964844,266.5899963378906,0,S&P 500 Utilities,^SP500-55
2018-07-16,266.1099853515625,266.80999755859375,264.8599853515625,266.4599914550781,0,S&P 500 Utilities,^SP500-55
2018-07-17,265.94000244140625,267.0,265.7300109863281,266.4200134277344,0,S&P 500 Utilities,^SP500-55
2018-07-18,264.6099853515625,265.9599914550781,263.5,265.8800048828125,0,S&P 500 Utilities,^SP500-55
2018-07-19,267.0799865722656,268.5899963378906,265.3800048828125,265.3800048828125,0,S&P 500 Utilities,^SP500-55
2018-07-20,265.05999755859375,266.79998779296875,263.4100036621094,266.6600036621094,0,S&P 500 Utilities,^SP500-55
2018-07-23,263.3699951171875,265.7200012207031,262.4200134277344,265.5299987792969,0,S&P 500 Utilities,^SP500-55
2018-07-24,264.260009765625,265.010009765625,259.54998779296875,262.70001220703125,0,S&P 500 Utilities,^SP500-55
2018-07-25,264.9599914550781,266.2699890136719,263.3699951171875,264.1400146484375,0,S&P 500 Utilities,^SP500-55
2018-07-26,267.989990234375,268.5199890136719,266.3599853515625,266.4800109863281,0,S&P 500 Utilities,^SP500-55
2018-07-27,266.8900146484375,269.1300048828125,265.94000244140625,268.0899963378906,0,S&P 500 Utilities,^SP500-55
2018-07-30,265.2900085449219,266.6099853515625,264.4599914550781,266.6099853515625,0,S&P 500 Utilities,^SP500-55
2018-07-31,268.1099853515625,268.3699951171875,265.44000244140625,266.010009765625,0,S&P 500 Utilities,^SP500-55
2018-08-01,265.8800048828125,266.6600036621094,263.6000061035156,266.6600036621094,0,S&P 500 Utilities,^SP500-55
2018-08-02,267.2900085449219,267.92999267578125,264.1600036621094,265.6700134277344,0,S&P 500 Utilities,^SP500-55
2018-08-03,270.04998779296875,270.80999755859375,266.2900085449219,267.2900085449219,0,S&P 500 Utilities,^SP500-55
