ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,product name
2019-08-15 00:00:00+00:00,35,1,203,74.75,74.75,74.75,74.75,5,HEG1,Lean Hogs Future
2019-08-19 00:00:00+00:00,35,1,203,70.95,71.675,70.95,71.675,7,HEG1,Lean Hogs Future
2019-08-20 00:00:00+00:00,35,1,203,73.0,73.0,73.0,73.0,2,HEG1,Lean Hogs Future
2019-08-21 00:00:00+00:00,35,1,203,73.25,73.3,73.25,73.3,14,HEG1,Lean Hogs Future
2019-08-22 00:00:00+00:00,35,1,203,72.925,72.975,72.925,72.975,2,HEG1,Lean Hogs Future
2019-08-26 00:00:00+00:00,35,1,203,72.75,72.75,72.75,72.75,3,HEG1,Lean Hogs Future
2019-08-27 00:00:00+00:00,35,1,203,72.5,72.5,72.5,72.5,1,HEG1,Lean Hogs Future
2019-08-28 00:00:00+00:00,35,1,203,72.5,72.75,72.5,72.75,3,HEG1,Lean Hogs Future
2019-08-29 00:00:00+00:00,35,1,203,73.0,73.4,72.85,72.85,6,HEG1,Lean Hogs Future
2019-08-30 00:00:00+00:00,35,1,203,72.85,72.85,72.85,72.85,2,HEG1,Lean Hogs Future
2019-09-03 00:00:00+00:00,35,1,203,72.0,72.0,72.0,72.0,1,HEG1,Lean Hogs Future
2019-09-04 00:00:00+00:00,35,1,203,72.4,72.725,72.1,72.2,15,HEG1,Lean Hogs Future
2019-09-05 00:00:00+00:00,35,1,203,73.1,73.375,72.75,72.75,9,HEG1,Lean Hogs Future
2019-09-06 00:00:00+00:00,35,1,203,72.3,72.3,71.7,71.7,2,HEG1,Lean Hogs Future
2019-09-09 00:00:00+00:00,35,1,203,72.425,72.5,71.2,72.275,4,HEG1,Lean Hogs Future
2019-09-10 00:00:00+00:00,35,1,203,71.15,73.0,71.0,72.8,6,HEG1,Lean Hogs Future
2019-09-12 00:00:00+00:00,35,1,203,73.25,74.4,73.25,74.4,12,HEG1,Lean Hogs Future
2019-09-13 00:00:00+00:00,35,1,203,75.0,77.0,74.5,74.85,142,HEG1,Lean Hogs Future
2019-09-17 00:00:00+00:00,35,1,203,74.325,74.325,74.325,74.325,1,HEG1,Lean Hogs Future
2019-09-18 00:00:00+00:00,35,1,203,74.0,74.325,74.0,74.325,3,HEG1,Lean Hogs Future
2019-09-23 00:00:00+00:00,35,1,203,74.175,74.25,74.1,74.2,26,HEG1,Lean Hogs Future
2019-09-24 00:00:00+00:00,35,1,203,73.55,73.55,73.55,73.55,1,HEG1,Lean Hogs Future
2019-09-25 00:00:00+00:00,35,1,203,74.15,74.15,74.15,74.15,6,HEG1,Lean Hogs Future
2019-09-26 00:00:00+00:00,35,1,203,73.5,73.5,73.5,73.5,1,HEG1,Lean Hogs Future
2019-09-27 00:00:00+00:00,35,1,203,73.9,73.9,73.9,73.9,1,HEG1,Lean Hogs Future
2019-09-30 00:00:00+00:00,35,1,203,73.7,73.7,73.7,73.7,1,HEG1,Lean Hogs Future
2019-10-01 00:00:00+00:00,35,1,203,72.35,72.925,72.3,72.925,4,HEG1,Lean Hogs Future
2019-10-02 00:00:00+00:00,35,1,203,72.7,72.7,72.7,72.7,1,HEG1,Lean Hogs Future
2019-10-04 00:00:00+00:00,35,1,203,72.325,72.325,72.325,72.325,1,HEG1,Lean Hogs Future
2019-10-08 00:00:00+00:00,35,1,203,74.05,74.05,74.05,74.05,1,HEG1,Lean Hogs Future
2019-10-11 00:00:00+00:00,35,1,203,74.475,74.475,74.325,74.475,25,HEG1,Lean Hogs Future
2019-10-14 00:00:00+00:00,35,1,203,74.475,74.475,74.375,74.375,50,HEG1,Lean Hogs Future
2019-10-15 00:00:00+00:00,35,1,199872,76.5,76.5,76.5,76.5,8,HEJ1,Lean Hogs Future
2019-10-15 00:00:00+00:00,35,1,203,74.25,74.525,74.0,74.0,157,HEG1,Lean Hogs Future
2019-10-16 00:00:00+00:00,35,1,203,73.925,74.0,73.925,74.0,3,HEG1,Lean Hogs Future
2019-10-17 00:00:00+00:00,35,1,203,73.7,74.075,73.7,73.9,9,HEG1,Lean Hogs Future
2019-10-17 00:00:00+00:00,35,1,199872,76.25,76.25,76.25,76.25,1,HEJ1,Lean Hogs Future
2019-10-18 00:00:00+00:00,35,1,199872,76.5,76.5,76.5,76.5,2,HEJ1,Lean Hogs Future
2019-10-18 00:00:00+00:00,35,1,203,74.075,74.075,73.95,73.95,4,HEG1,Lean Hogs Future
2019-10-21 00:00:00+00:00,35,1,199872,76.5,76.5,76.5,76.5,12,HEJ1,Lean Hogs Future
2019-10-21 00:00:00+00:00,35,1,203,74.0,74.5,74.0,74.45,128,HEG1,Lean Hogs Future
2019-10-22 00:00:00+00:00,35,1,203,74.45,74.45,74.15,74.15,89,HEG1,Lean Hogs Future
2019-10-22 00:00:00+00:00,35,1,199872,76.35,76.35,76.35,76.35,1,HEJ1,Lean Hogs Future
2019-10-23 00:00:00+00:00,35,1,203,73.85,74.35,73.85,74.075,35,HEG1,Lean Hogs Future
2019-10-23 00:00:00+00:00,35,1,199872,76.625,76.625,76.625,76.625,1,HEJ1,Lean Hogs Future
2019-10-24 00:00:00+00:00,35,1,203,73.825,73.9,73.625,73.625,45,HEG1,Lean Hogs Future
2019-10-24 00:00:00+00:00,35,1,199872,76.25,76.25,76.0,76.0,8,HEJ1,Lean Hogs Future
2019-10-25 00:00:00+00:00,35,1,199872,76.525,76.55,76.525,76.525,6,HEJ1,Lean Hogs Future
2019-10-25 00:00:00+00:00,35,1,203,73.675,74.1,73.625,74.025,19,HEG1,Lean Hogs Future
2019-10-28 00:00:00+00:00,35,1,199872,76.0,76.5,76.0,76.5,9,HEJ1,Lean Hogs Future
2019-10-28 00:00:00+00:00,35,1,203,73.375,74.075,73.125,73.975,15,HEG1,Lean Hogs Future
2019-10-29 00:00:00+00:00,35,1,199872,76.1,76.1,76.1,76.1,1,HEJ1,Lean Hogs Future
2019-10-29 00:00:00+00:00,35,1,203,73.85,73.85,73.35,73.35,16,HEG1,Lean Hogs Future
2019-10-30 00:00:00+00:00,35,1,199872,76.5,76.6,76.5,76.5,5,HEJ1,Lean Hogs Future
2019-10-30 00:00:00+00:00,35,1,203,73.15,74.025,73.15,74.0,11,HEG1,Lean Hogs Future
2019-10-31 00:00:00+00:00,35,1,203,73.025,74.5,73.025,74.5,16,HEG1,Lean Hogs Future
2019-10-31 00:00:00+00:00,35,1,199872,76.5,77.0,76.5,77.0,9,HEJ1,Lean Hogs Future
2019-11-04 00:00:00+00:00,35,1,203,73.75,73.75,73.75,73.75,3,HEG1,Lean Hogs Future
2019-11-05 00:00:00+00:00,35,1,203,74.475,74.475,74.475,74.475,1,HEG1,Lean Hogs Future
2019-11-05 00:00:00+00:00,35,1,199872,77.0,77.1,77.0,77.0,12,HEJ1,Lean Hogs Future
2019-11-06 00:00:00+00:00,35,1,203,74.375,74.375,74.375,74.375,1,HEG1,Lean Hogs Future
2019-11-11 00:00:00+00:00,35,1,203,73.0,73.25,73.0,73.25,2,HEG1,Lean Hogs Future
2019-11-12 00:00:00+00:00,35,1,203,73.6,73.6,73.6,73.6,1,HEG1,Lean Hogs Future
2019-11-12 00:00:00+00:00,35,1,199872,76.125,76.125,76.125,76.125,1,HEJ1,Lean Hogs Future
2019-11-13 00:00:00+00:00,35,1,203,73.5,73.5,73.5,73.5,3,HEG1,Lean Hogs Future
2019-11-14 00:00:00+00:00,35,1,203,73.05,73.05,73.05,73.05,1,HEG1,Lean Hogs Future
2019-11-15 00:00:00+00:00,35,1,199872,75.1,75.1,75.1,75.1,2,HEJ1,Lean Hogs Future
2019-11-15 00:00:00+00:00,35,1,203,72.25,72.35,72.25,72.35,2,HEG1,Lean Hogs Future
